Line,Type,Value
1,Library,#include <iostream>
2,Library,#include <vector>
4,Identifier,using
4,Identifier,namespace
4,Identifier,std
4,Delimiter,;
6,Data_Type,int
6,Identifier,main
6,Bracket_Parenthesis,(
6,Bracket_Parenthesis,)
6,Bracket_Parenthesis,{
7,Identifier,vector
7,Relational_Operator,<
7,Data_Type,int
7,Relational_Operator,>
7,Identifier,numbers
7,Assignment_Operator,=
7,Bracket_Parenthesis,{
7,Integer_Constant,1
7,Delimiter,","
7,Integer_Constant,2
7,Delimiter,","
7,Integer_Constant,3
7,Delimiter,","
7,Integer_Constant,4
7,Delimiter,","
7,Integer_Constant,5
7,Bracket_Parenthesis,}
7,Delimiter,;
8,Data_Type,int
8,Identifier,sum
8,Assignment_Operator,=
8,Integer_Constant,0
8,Delimiter,;
10,Keyword,for
10,Bracket_Parenthesis,(
10,Data_Type,int
10,Identifier,i
10,Assignment_Operator,=
10,Integer_Constant,0
10,Delimiter,;
10,Identifier,i
10,Relational_Operator,<
10,Identifier,numbers
10,Identifier,size
10,Bracket_Parenthesis,(
10,Bracket_Parenthesis,)
10,Delimiter,;
10,Identifier,i
10,Increment_Decrement_Operator,++
10,Bracket_Parenthesis,)
10,Bracket_Parenthesis,{
11,Identifier,sum
11,Arithmetic_Operator,+
11,Assignment_Operator,=
11,Identifier,numbers
11,Bracket_Parenthesis,[
11,Identifier,i
11,Bracket_Parenthesis,]
11,Delimiter,;
12,Bracket_Parenthesis,}
14,Data_Type,double
14,Identifier,average
14,Assignment_Operator,=
14,Identifier,sum
14,Arithmetic_Operator,/
14,Identifier,static_cast
14,Relational_Operator,<
14,Data_Type,double
14,Relational_Operator,>
14,Bracket_Parenthesis,(
14,Identifier,numbers
14,Identifier,size
14,Bracket_Parenthesis,(
14,Bracket_Parenthesis,)
14,Bracket_Parenthesis,)
14,Delimiter,;
16,Identifier,cout
16,Relational_Operator,<
16,Relational_Operator,<
16,String_Literal,"""The sum of the numbers is: """
16,Relational_Operator,<
16,Relational_Operator,<
16,Identifier,sum
16,Relational_Operator,<
16,Relational_Operator,<
16,Identifier,endl
16,Delimiter,;
17,Identifier,cout
17,Relational_Operator,<
17,Relational_Operator,<
17,String_Literal,"""The average of the numbers is: """
17,Relational_Operator,<
17,Relational_Operator,<
17,Identifier,average
17,Relational_Operator,<
17,Relational_Operator,<
17,Identifier,endl
17,Delimiter,;
19,Keyword,if
19,Bracket_Parenthesis,(
19,Identifier,average
19,Relational_Operator,>
19,Float_Constant,3
19,Bracket_Parenthesis,)
19,Bracket_Parenthesis,{
20,Identifier,cout
20,Relational_Operator,<
20,Relational_Operator,<
20,String_Literal,"""Average is greater than 3.0"""
20,Relational_Operator,<
20,Relational_Operator,<
20,Identifier,endl
20,Delimiter,;
21,Bracket_Parenthesis,}
21,Keyword,else
21,Bracket_Parenthesis,{
22,Identifier,cout
22,Relational_Operator,<
22,Relational_Operator,<
22,String_Literal,"""Average is less than or equal to 3.0"""
22,Relational_Operator,<
22,Relational_Operator,<
22,Identifier,endl
22,Delimiter,;
23,Bracket_Parenthesis,}
25,Keyword,return
25,Integer_Constant,0
25,Delimiter,;
26,Bracket_Parenthesis,}
